id,name,acronym,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
997,root,root,-1,,,,87
8,Basic cell groups and regions,grey,0,997,root,root,0
567,Cerebrum,CH,70,8,Basic cell groups and regions,grey,0
688,Cerebral cortex,CTX,85,567,Cerebrum,CH,0
695,Cortical plate,CTXpl,86,688,Cerebral cortex,CTX,0
315,Isocortex,Isocortex,746,695,Cortical plate,CTXpl,0
184,"Frontal pole, cerebral cortex",FRP,871,315,Isocortex,Isocortex,0
68,"Frontal pole, layer 1",FRP1,998,184,"Frontal pole, cerebral cortex",FRP,28030
667,"Frontal pole, layer 2/3",FRP2/3,1073,184,"Frontal pole, cerebral cortex",FRP,24592
526157192,"Frontal pole, layer 5",FRP5,,184,"Frontal pole, cerebral cortex",FRP,0
526322272,"Frontal pole, layer 6a",FRP6a,,184,"Frontal pole, cerebral cortex",FRP,55
526322264,"Frontal pole, layer 6b",FRP6b,,184,"Frontal pole, cerebral cortex",FRP,0
500,Somatomotor areas,MO,203,315,Isocortex,Isocortex,0
107,"Somatomotor areas, Layer 1",MO1,1003,500,Somatomotor areas,MO,0
219,"Somatomotor areas, Layer 2/3",MO2/3,1017,500,Somatomotor areas,MO,0
299,"Somatomotor areas, Layer 5",MO5,1027,500,Somatomotor areas,MO,0
644,"Somatomotor areas, Layer 6a",MO6a,787,500,Somatomotor areas,MO,0
947,"Somatomotor areas, Layer 6b",MO6b,825,500,Somatomotor areas,MO,0
985,Primary motor area,MOp,830,500,Somatomotor areas,MO,0
320,"Primary motor area, Layer 1",MOp1,888,985,Primary motor area,MOp,164128
943,"Primary motor area, Layer 2/3",MOp2/3,966,985,Primary motor area,MOp,397800
648,"Primary motor area, Layer 5",MOp5,929,985,Primary motor area,MOp,323982
844,"Primary motor area, Layer 6a",MOp6a,1095,985,Primary motor area,MOp,250687
882,"Primary motor area, Layer 6b",MOp6b,1100,985,Primary motor area,MOp,15863
993,Secondary motor area,MOs,831,500,Somatomotor areas,MO,0
656,"Secondary motor area, layer 1",MOs1,930,993,Secondary motor area,MOs,286003
962,"Secondary motor area, layer 2/3",MOs2/3,1110,993,Secondary motor area,MOs,441732
767,"Secondary motor area, layer 5",MOs5,944,993,Secondary motor area,MOs,471108
1021,"Secondary motor area, layer 6a",MOs6a,1117,993,Secondary motor area,MOs,193678
1085,"Secondary motor area, layer 6b",MOs6b,1125,993,Secondary motor area,MOs,5709
453,Somatosensory areas,SS,339,315,Isocortex,Isocortex,0
12993,"Somatosensory areas, layer 1",SS1,,453,Somatosensory areas,SS,0
12994,"Somatosensory areas, layer 2/3",SS2/3,,453,Somatosensory areas,SS,0
12995,"Somatosensory areas, layer 4",SS4,,453,Somatosensory areas,SS,0
12996,"Somatosensory areas, layer 5",SS5,,453,Somatosensory areas,SS,0
12997,"Somatosensory areas, layer 6a",SS6a,,453,Somatosensory areas,SS,0
12998,"Somatosensory areas, layer 6b",SS6b,,453,Somatosensory areas,SS,0
322,Primary somatosensory area,SSp,747,453,Somatosensory areas,SS,0
793,"Primary somatosensory area, layer 1",SSp1,1089,322,Primary somatosensory area,SSp,0
346,"Primary somatosensory area, layer 2/3",SSp2/3,1033,322,Primary somatosensory area,SSp,0
865,"Primary somatosensory area, layer 4",SSp4,1098,322,Primary somatosensory area,SSp,0
921,"Primary somatosensory area, layer 5",SSp5,1105,322,Primary somatosensory area,SSp,0
686,"Primary somatosensory area, layer 6a",SSp6a,934,322,Primary somatosensory area,SSp,0
719,"Primary somatosensory area, layer 6b",SSp6b,938,322,Primary somatosensory area,SSp,0
